number,executionTime
0,0.000028099998831748963
1,0.008314599990844726
2,0.009719999998807908
3,0.010742499992251396
4,0.011763399988412858
5,0.012761599987745285
6,0.013649399995803833
7,0.014642399996519088
8,0.015665199995040895
9,0.016700099989771844
10,0.017619799986481666
11,0.018524199992418288
12,0.019445499986410143
13,0.02064599999785423
14,0.0219953999966383
15,0.02311659999191761
16,0.0241266999989748
17,0.0255016999989748
18,0.02676639999449253
19,0.028044699996709825
20,0.029300299987196923
21,0.03184059999883175
22,0.03375039999186993
23,0.0351077999919653
24,0.03640760000050068
25,0.03833329999446869
26,0.039744299992918966
27,0.04103700000047684
28,0.042643899992108346
29,0.04411739999055862
30,0.04543310000002384
31,0.04695519998669624
32,0.04851979999244213
33,0.05112399999797344
34,0.054590299993753436
35,0.058189999997615816
36,0.06265689998865127
37,0.06916589999198913
38,0.07631989999115467
39,0.08905579999089241
40,0.10800959999859333
41,0.1271511999964714
42,0.16160539999604226
43,0.21264639998972415
44,0.26564649999141693
45,0.36658379998803137
46,0.5321091999858618
47,0.6982370999902486
48,1.016021499991417
49,1.479040899991989
50,1.9690064999908208
51,2.915202399998903
52,4.417189399987459
53,5.821496799990535
54,8.719117999985814
55,13.02414209999144
56,17.152161299988627
57,25.334765099987386
58,37.58360929998756
59,49.92643859998882
60,74.47501899999381
61,111.83187079998851
62,149.52274069999157
63,226.98303869999944
64,342.05120609998704
65,454.0472502999902
66,676.5773544999957
67,1015.9227958999872
68,1350.8760670999884
69,2017.8069363999962
70,3014.792155699998
71,4057.902714999989
